iter	Passed	Remaining
0	22	6681
1	43	6470
2	67	6662
3	87	6497
4	111	6575
5	136	6702
6	150	6285
7	174	6351
8	198	6415
9	222	6464
10	246	6485
11	270	6493
12	293	6485
13	316	6459
14	340	6474
15	366	6513
16	390	6499
17	416	6517
18	440	6512
19	463	6493
20	486	6466
21	509	6436
22	521	6278
23	544	6261
24	571	6284
25	593	6259
26	617	6243
27	640	6222
28	665	6216
29	688	6195
30	710	6166
31	733	6140
32	759	6146
33	783	6130
34	806	6104
35	829	6082
36	852	6056
37	876	6041
38	900	6026
39	924	6006
40	952	6015
41	967	5944
42	997	5959
43	1021	5943
44	1045	5925
45	1068	5899
46	1094	5890
47	1118	5869
48	1134	5811
49	1159	5796
50	1196	5842
51	1223	5834
52	1245	5804
53	1267	5776
54	1291	5752
55	1315	5733
56	1339	5711
57	1362	5686
58	1387	5667
59	1408	5632
60	1433	5615
61	1438	5523
62	1461	5498
63	1483	5470
64	1508	5454
65	1534	5440
66	1554	5406
67	1578	5385
68	1601	5362
69	1625	5342
70	1648	5317
71	1672	5296
72	1681	5228
73	1703	5203
74	1728	5186
75	1753	5166
76	1776	5144
77	1800	5124
78	1829	5119
79	1854	5098
80	1877	5075
81	1899	5050
82	1923	5028
83	1948	5009
84	1976	4999
85	2000	4976
86	2023	4954
87	2046	4930
88	2068	4905
89	2092	4883
90	2115	4859
91	2138	4834
92	2160	4809
93	2184	4786
94	2208	4766
95	2231	4741
96	2253	4715
97	2277	4694
98	2300	4671
99	2324	4648
100	2347	4624
101	2371	4602
102	2394	4579
103	2415	4553
104	2439	4531
105	2465	4511
106	2489	4489
107	2512	4466
108	2535	4443
109	2558	4418
110	2581	4395
111	2604	4371
112	2627	4347
113	2647	4320
114	2669	4294
115	2692	4270
116	2715	4246
117	2737	4222
118	2761	4200
119	2774	4161
120	2807	4152
121	2831	4131
122	2855	4109
123	2880	4087
124	2900	4060
125	2923	4037
126	2946	4013
127	2968	3989
128	2992	3967
129	3016	3944
130	3038	3919
131	3065	3901
132	3088	3878
133	3114	3858
134	3141	3839
135	3164	3816
136	3187	3792
137	3211	3770
138	3233	3745
139	3255	3721
140	3280	3698
141	3302	3674
142	3333	3659
143	3359	3638
144	3383	3616
145	3405	3592
146	3429	3569
147	3451	3544
148	3473	3520
149	3496	3496
150	3535	3488
151	3561	3467
152	3585	3444
153	3612	3424
154	3638	3403
155	3664	3382
156	3690	3361
157	3717	3340
158	3743	3319
159	3770	3299
160	3805	3285
161	3835	3267
162	3858	3243
163	3881	3218
164	3905	3195
165	3928	3171
166	3951	3146
167	3975	3123
168	4003	3103
169	4026	3079
170	4051	3056
171	4082	3038
172	4116	3022
173	4147	3003
174	4179	2985
175	4209	2965
176	4238	2945
177	4264	2923
178	4292	2901
179	4323	2882
180	4351	2860
181	4379	2839
182	4406	2817
183	4435	2796
184	4460	2772
185	4485	2748
186	4527	2736
187	4557	2715
188	4588	2694
189	4620	2674
190	4650	2653
191	4677	2631
192	4708	2610
193	4736	2587
194	4767	2566
195	4807	2550
196	4835	2528
197	4863	2505
198	4891	2482
199	4921	2460
200	4948	2437
201	4979	2415
202	5003	2391
203	5030	2367
204	5055	2343
205	5083	2319
206	5109	2295
207	5139	2273
208	5166	2249
209	5196	2226
210	5218	2201
211	5245	2177
212	5273	2154
213	5302	2130
214	5332	2108
215	5361	2085
216	5395	2063
217	5426	2041
218	5455	2017
219	5484	1994
220	5515	1971
221	5543	1947
222	5570	1923
223	5597	1899
224	5626	1875
225	5650	1850
226	5676	1825
227	5700	1800
228	5726	1775
229	5751	1750
230	5779	1726
231	5803	1701
232	5832	1677
233	5859	1652
234	5888	1628
235	5915	1604
236	5939	1578
237	5965	1553
238	5989	1528
239	6016	1504
240	6043	1479
241	6070	1455
242	6097	1430
243	6122	1405
244	6149	1380
245	6190	1358
246	6220	1334
247	6247	1310
248	6276	1285
249	6303	1260
250	6332	1236
251	6357	1211
252	6384	1186
253	6412	1161
254	6439	1136
255	6465	1111
256	6494	1086
257	6527	1062
258	6551	1037
259	6576	1011
260	6607	987
261	6634	962
262	6659	936
263	6682	911
264	6706	885
265	6731	860
266	6755	834
267	6789	810
268	6813	785
269	6842	760
270	6864	734
271	6890	709
272	6917	684
273	6944	658
274	6969	633
275	6994	608
276	7017	582
277	7040	557
278	7064	531
279	7086	506
280	7110	480
281	7132	455
282	7156	429
283	7179	404
284	7204	379
285	7226	353
286	7252	328
287	7276	303
288	7300	277
289	7324	252
290	7350	227
291	7376	202
292	7401	176
293	7425	151
294	7450	126
295	7473	100
296	7497	75
297	7521	50
298	7544	25
299	7569	0
